original_customer_id,master_customer_id,customer_name
592,1,KWAMBA INVESTMENTS
573,2,AMBICOR 121
626,3,"SUPERMERCADO TODO DIA, LDA"
529,4,SEGWAGWA CC
203,5,CRESCENT INTERNATIONAL PTY LTD
799,6,"S.H PINTOS , EI"
11,7,COALITION TRADING 1316CC T/A
568,8,DELPH LIKE TRADING TA RITE PRICE WHOLESALERS
443,9,WHIPPS CROSS TRADING
47,10,METCASH TRADING AFRICA (PTY) LTD T/A CHAMPION CNC
591,11,USIMAKADE (PTY)LTD
202,12,MJ GROUP OF COMPANIES
377,13,ARGUS DISTRIBUTION CENTRE
58,14,WOKOCHO GENERAL TRADING T/A SAVE MORE CASH N CARRY
642,15,ODM INVEST (PTY) LTD T/A SALVAGE MART
199,16,AFRICAN SUPERMARKET (SAM)
434,17,PLATINUM PANTHER TRADE (PTY) LTD T/A DAKOTA C&C
439,18,MIQRA TRADING CC
105,19,JEEBHAI COSMETICS
22,20,NEW KALKAAL
583,21,PLEIN STREET DISTRIBUTION
162,22,KINGDOM DISTRIBUTOIN NETWORK
640,23,GELLI DISTRIBUTORS (PTY) LTD
588,24,CLEAN STREET TRADING AND DISTRIBUTION CC
46,25,LENASIA QUICK BUILD
517,26,ARAIA INVESTMENTS
505,27,SOUTHERN AMBITION
209,28,QUSWAH TRADING (LENS)
543,29,WOLMU TRADING (PTY) LTD
519,30,POCHA & SONS WHOLESALERS - KISMAT CASH N CARRY
182,31,SAFARI DISTRIBUTORS PTY (LTD)
96,32,ZA BUILDERS & STEEL
579,33,BEST SELLER TRADING PTY LTD TA DAHIRKEY
537,34,Main Line Import & Export  (Pty) Ltd
604,35,CONCORDANT HOLDINGS (PTY) LTD
589,36,VABRO DISTRIBUTORS
476,37,MPHO DISTRIBUTORS
605,38,EVERGLOW DISTRIBUTORS
31,39,FARMAKH DISTRIBUTORS
419,40,NUMAIN CASH AND CARRY
188,40,NUMAIN CASH AND CARRY
502,41,MOTLANA CASH AND CARRY
396,42,ECORBIT (PTY) LTD
53,43,QCCC (PTY) LTD
601,44,CHIBWAYS TRADING
69,45,GTR CASH AND CARRY (PTY) LTD
81,46,TRIPLE E - KZN
97,47,AL RAHMA CHINA STORE (PTA WEST)
47,48,ESINENHLANHLA LOGISTICS & PROJECTS
