category_l1,date,period,quantity,revenue,num_orders,num_customers
Baby and Toddler,2025-06-30,H2,76289,10896201.68,109,93
Baby and Toddler,2025-07-01,H2,3735,1315554.0,7,7
Baby and Toddler,2025-07-02,H2,2396,420197.0,9,9
Baby and Toddler,2025-07-03,H2,6447,1229682.0,15,15
Baby and Toddler,2025-07-04,H2,8712,1453217.0,17,17
Baby and Toddler,2025-07-05,H2,3223,830845.0,6,6
Baby and Toddler,2025-07-07,H2,8166,1625542.0,12,12
Baby and Toddler,2025-07-08,H2,7063,1971962.22,19,17
Baby and Toddler,2025-07-09,H2,18806,4064834.75,37,37
Baby and Toddler,2025-07-10,H2,13877,2924127.22,24,22
Baby and Toddler,2025-07-11,H2,13181,2361275.72,22,22
Baby and Toddler,2025-07-12,H2,8568,1613467.22,19,19
Baby and Toddler,2025-07-14,H2,11259,2249103.75,14,14
Baby and Toddler,2025-07-15,H2,4300,809421.0,11,11
Baby and Toddler,2025-07-16,H2,6369,967486.72,13,13
Baby and Toddler,2025-07-17,H2,13918,2259303.5,27,26
Baby and Toddler,2025-07-18,H2,8743,1705812.04,19,17
Baby and Toddler,2025-07-19,H2,6060,1603957.0,6,6
Baby and Toddler,2025-07-21,H2,8331,1582769.5,15,15
Baby and Toddler,2025-07-22,H2,10677,1980731.04,23,23
Baby and Toddler,2025-07-23,H2,13413,2474332.5,20,20
Baby and Toddler,2025-07-24,H2,10138,2002393.54,29,27
Baby and Toddler,2025-07-25,H2,6838,1568317.0,24,23
Baby and Toddler,2025-07-26,H2,17432,2876255.97,23,22
Baby and Toddler,2025-07-28,H2,15933,3067357.71,27,27
Baby and Toddler,2025-07-29,H2,12505,2467177.54,27,25
Baby and Toddler,2025-07-30,H2,11442,2370845.08,29,28
Baby and Toddler,2025-07-31,H2,15357,2966262.03,30,27
Baby and Toddler,2025-08-01,H2,11439,2120447.48,17,17
Baby and Toddler,2025-08-02,H2,7308,1464163.94,18,18
Baby and Toddler,2025-08-04,H2,14918,2766293.72,32,32
Baby and Toddler,2025-08-05,H2,11393,2018689.61,20,20
Baby and Toddler,2025-08-06,H2,13479,2348462.5,22,21
Baby and Toddler,2025-08-07,H2,11196,2545809.1,25,25
Baby and Toddler,2025-08-08,H2,28402,5143232.27,68,67
Baby and Toddler,2025-08-09,H2,16000,2818048.75,61,60
Baby and Toddler,2025-08-11,H2,62219,9536025.01,149,119
Baby and Toddler,2025-08-12,H2,35908,6013587.35,66,57
Baby and Toddler,2025-08-13,H2,25653,4389731.75,68,60
Baby and Toddler,2025-08-14,H2,24117,4794001.78,56,55
Baby and Toddler,2025-08-15,H2,19946,3454162.8,61,59
Baby and Toddler,2025-08-16,H2,15694,2735835.33,54,47
Baby and Toddler,2025-08-18,H2,23950,4091921.97,57,50
Baby and Toddler,2025-08-19,H2,18677,3055182.21,58,54
Baby and Toddler,2025-08-20,H2,17707,3208496.18,57,51
Baby and Toddler,2025-08-21,H2,18086,3344269.89,61,56
