category_l1,year_week,period,quantity,revenue,num_orders,num_customers,date
Baby and Toddler,2025-W02,H1,196288,37857170.0,99,84,2025-01-06
Baby and Toddler,2025-W03,H1,283316,54558384.06,148,123,2025-01-13
Baby and Toddler,2025-W04,H1,287900,53289911.8,163,139,2025-01-20
Baby and Toddler,2025-W05,H1,193394,36091424.44,158,131,2025-01-27
Baby and Toddler,2025-W06,H1,44294,12879919.75,59,57,2025-02-03
Baby and Toddler,2025-W07,H1,39645,6767853.75,66,59,2025-02-10
Baby and Toddler,2025-W08,H1,52992,12986605.5,79,65,2025-02-17
Baby and Toddler,2025-W09,H1,28166,6231542.5,30,30,2025-02-24
Baby and Toddler,2025-W10,H1,66354,11904973.5,103,92,2025-03-03
Baby and Toddler,2025-W11,H1,69095,13785323.25,93,85,2025-03-10
Baby and Toddler,2025-W12,H1,46910,8130029.8,101,83,2025-03-17
Baby and Toddler,2025-W13,H1,73049,12653020.0,105,90,2025-03-24
Baby and Toddler,2025-W14,H1,168404,27727304.67,196,143,2025-03-31
Baby and Toddler,2025-W15,H1,138828,22809955.75,209,168,2025-04-07
Baby and Toddler,2025-W16,H1,93681,16151187.9,191,156,2025-04-14
Baby and Toddler,2025-W17,H1,122310,19970955.0,207,158,2025-04-21
Baby and Toddler,2025-W18,H1,136496,23678264.08,215,164,2025-04-28
Baby and Toddler,2025-W19,H1,128376,23839674.96,176,149,2025-05-05
Baby and Toddler,2025-W20,H1,143239,25054717.5,250,187,2025-05-12
Baby and Toddler,2025-W21,H1,117952,20451337.91,249,189,2025-05-19
Baby and Toddler,2025-W22,H1,112621,20689357.68,202,162,2025-05-26
Baby and Toddler,2025-W23,H1,89484,16063817.92,102,88,2025-06-02
Baby and Toddler,2025-W24,H1,151067,24479546.04,218,149,2025-06-09
Baby and Toddler,2025-W25,H1,113865,18116389.94,197,149,2025-06-16
Baby and Toddler,2025-W26,H1,180199,27587448.52,313,205,2025-06-23
Baby and Toddler,2025-W27,H2,100802,16145696.68,163,134,2025-06-30
Baby and Toddler,2025-W28,H2,69661,14561209.13,133,110,2025-07-07
Baby and Toddler,2025-W29,H2,50649,9595084.01,90,76,2025-07-14
Baby and Toddler,2025-W30,H2,66829,12484799.55,134,107,2025-07-21
Baby and Toddler,2025-W31,H2,73984,14456253.78,148,106,2025-07-28
Baby and Toddler,2025-W32,H2,95388,17640535.95,228,193,2025-08-04
Baby and Toddler,2025-W33,H2,183537,30923344.02,454,257,2025-08-11
Baby and Toddler,2025-W34,H2,107084,18559705.59,340,227,2025-08-18
Baby and Toddler,2025-W35,H2,120836,21391457.84,420,251,2025-08-25
Baby and Toddler,2025-W36,H2,147615,25062213.4,191,154,2025-09-01
Baby and Toddler,2025-W37,H2,105920,19112221.74,216,169,2025-09-08
Baby and Toddler,2025-W38,H2,102596,18420811.54,175,146,2025-09-15
Baby and Toddler,2025-W39,H2,91664,15700534.97,160,136,2025-09-22
Baby and Toddler,2025-W40,H2,111074,18515059.8,228,161,2025-09-29
Baby and Toddler,2025-W41,H2,97121,17076068.93,260,193,2025-10-06
Baby and Toddler,2025-W42,H2,80959,14797321.56,169,148,2025-10-13
Baby and Toddler,2025-W43,H2,121646,21331884.62,238,187,2025-10-20
Baby and Toddler,2025-W44,H2,147871,23850301.46,223,164,2025-10-27
Baby and Toddler,2025-W45,H2,150096,13995885.8,233,174,2025-11-03
Baby and Toddler,2025-W46,H2,153997,17737633.41,241,165,2025-11-10
Baby and Toddler,2025-W47,H2,501959,22613738.36,537,228,2025-11-17
Baby and Toddler,2025-W48,H2,236316,15359695.42,278,185,2025-11-24
Baby and Toddler,2025-W49,H2,124047,22473516.78,251,179,2025-12-01
Baby and Toddler,2025-W50,H2,120962,23661367.4,297,220,2025-12-08
Baby and Toddler,2025-W51,H2,168482,30396242.88,401,277,2025-12-15
Baby and Toddler,2025-W52,H2,16360,2944333.5,30,30,2025-12-22
Beverages,2025-W03,H1,14,3330.0,3,3,2025-01-13
Beverages,2025-W04,H1,2136,345624.0,2,2,2025-01-22
Beverages,2025-W05,H1,2,1120.0,1,1,2025-01-27
Beverages,2025-W06,H1,7175,1169872.5,36,35,2025-02-04
Beverages,2025-W07,H1,9107,1486068.0,34,31,2025-02-10
Beverages,2025-W08,H1,8487,1383057.0,39,38,2025-02-17
Beverages,2025-W09,H1,1561,257225.0,7,6,2025-02-24
Beverages,2025-W10,H1,938,151262.0,7,7,2025-03-05
Beverages,2025-W11,H1,259,22403.5,4,3,2025-03-10
Beverages,2025-W12,H1,598,72187.0,3,3,2025-03-20
Beverages,2025-W13,H1,1581,249616.5,6,6,2025-03-24
Beverages,2025-W14,H1,20158,3388180.75,10,9,2025-03-31
Beverages,2025-W15,H1,3819,617526.0,6,6,2025-04-07
Beverages,2025-W16,H1,1306,184726.5,6,6,2025-04-14
Beverages,2025-W17,H1,3442,456898.0,3,3,2025-04-21
Beverages,2025-W18,H1,11482,1957127.11,15,15,2025-04-28
Beverages,2025-W19,H1,5782,991112.64,13,13,2025-05-05
Beverages,2025-W20,H1,14988,2577829.71,18,17,2025-05-12
Beverages,2025-W21,H1,5300,903434.68,8,7,2025-05-21
Beverages,2025-W22,H1,8736,1502077.28,24,24,2025-05-27
Beverages,2025-W24,H1,1704,148296.0,2,2,2025-06-10
Beverages,2025-W25,H1,5064,437256.0,4,4,2025-06-17
Beverages,2025-W26,H1,10080,866880.0,6,6,2025-06-23
Beverages,2025-W27,H2,2702,326259.4,7,7,2025-06-30
Beverages,2025-W28,H2,9194,1598120.0,21,20,2025-07-07
Beverages,2025-W29,H2,2811,492376.0,14,14,2025-07-14
Beverages,2025-W30,H2,9036,1567385.7,26,22,2025-07-21
Beverages,2025-W31,H2,8411,1460699.7,28,24,2025-07-28
Beverages,2025-W32,H2,9996,1711096.0,35,35,2025-08-04
Beverages,2025-W33,H2,20118,3475952.4,86,61,2025-08-11
Beverages,2025-W34,H2,10857,1881755.4,64,50,2025-08-18
Beverages,2025-W35,H2,7500,1296309.5,59,54,2025-08-25
Beverages,2025-W36,H2,10015,1676650.75,35,32,2025-09-01
Beverages,2025-W37,H2,31906,5493328.15,38,32,2025-09-09
Beverages,2025-W38,H2,18098,3126092.5,34,27,2025-09-15
Beverages,2025-W39,H2,10707,1848952.75,23,21,2025-09-23
Beverages,2025-W40,H2,13790,2341721.65,34,31,2025-09-29
Beverages,2025-W41,H2,3138,492024.0,17,17,2025-10-07
Beverages,2025-W42,H2,580,71728.0,12,12,2025-10-13
Beverages,2025-W43,H2,7137,1206581.0,13,13,2025-10-20
Beverages,2025-W44,H2,8103,654672.1,7,7,2025-10-28
Beverages,2025-W45,H2,13365,443316.6,18,18,2025-11-03
Beverages,2025-W46,H2,10495,293136.9,14,12,2025-11-10
Beverages,2025-W47,H2,77834,1763542.36,55,39,2025-11-17
Beverages,2025-W48,H2,33515,766708.38,23,21,2025-11-24
Beverages,2025-W49,H2,2758,223279.0,16,15,2025-12-01
Beverages,2025-W50,H2,3715,532476.0,18,18,2025-12-08
Beverages,2025-W51,H2,14691,2418768.0,19,18,2025-12-15
