category_l1,year_week,period,quantity,revenue,num_orders,num_customers,date
Baby and Toddler,2025-W02,H1,196288,37857170.0,99,84,2025-01-06
Baby and Toddler,2025-W03,H1,283316,54558384.06,148,123,2025-01-13
Baby and Toddler,2025-W04,H1,287900,53289911.8,163,139,2025-01-20
Baby and Toddler,2025-W05,H1,193394,36091424.44,158,131,2025-01-27
Baby and Toddler,2025-W06,H1,44294,12879919.75,59,57,2025-02-03
Baby and Toddler,2025-W07,H1,39645,6767853.75,66,59,2025-02-10
Baby and Toddler,2025-W08,H1,52992,12986605.5,79,65,2025-02-17
Baby and Toddler,2025-W09,H1,28166,6231542.5,30,30,2025-02-24
Baby and Toddler,2025-W10,H1,66354,11904973.5,103,92,2025-03-03
Baby and Toddler,2025-W11,H1,69095,13785323.25,93,85,2025-03-10
Baby and Toddler,2025-W12,H1,46910,8130029.8,101,83,2025-03-17
Baby and Toddler,2025-W13,H1,73049,12653020.0,105,90,2025-03-24
Baby and Toddler,2025-W14,H1,168404,27727304.67,196,143,2025-03-31
Baby and Toddler,2025-W15,H1,138828,22809955.75,209,168,2025-04-07
Baby and Toddler,2025-W16,H1,93681,16151187.9,191,156,2025-04-14
Baby and Toddler,2025-W17,H1,122310,19970955.0,207,158,2025-04-21
Baby and Toddler,2025-W18,H1,136496,23678264.08,215,164,2025-04-28
Baby and Toddler,2025-W19,H1,128376,23839674.96,176,149,2025-05-05
Baby and Toddler,2025-W20,H1,143239,25054717.5,250,187,2025-05-12
Baby and Toddler,2025-W21,H1,117952,20451337.91,249,189,2025-05-19
Baby and Toddler,2025-W22,H1,112621,20689357.68,202,162,2025-05-26
Baby and Toddler,2025-W23,H1,89484,16063817.92,102,88,2025-06-02
Baby and Toddler,2025-W24,H1,151067,24479546.04,218,149,2025-06-09
Baby and Toddler,2025-W25,H1,113865,18116389.94,197,149,2025-06-16
Baby and Toddler,2025-W26,H1,180199,27587448.52,313,205,2025-06-23
Beverages,2025-W03,H1,14,3330.0,3,3,2025-01-13
Beverages,2025-W04,H1,2136,345624.0,2,2,2025-01-22
Beverages,2025-W05,H1,2,1120.0,1,1,2025-01-27
Beverages,2025-W06,H1,7175,1169872.5,36,35,2025-02-04
Beverages,2025-W07,H1,9107,1486068.0,34,31,2025-02-10
Beverages,2025-W08,H1,8487,1383057.0,39,38,2025-02-17
Beverages,2025-W09,H1,1561,257225.0,7,6,2025-02-24
Beverages,2025-W10,H1,938,151262.0,7,7,2025-03-05
Beverages,2025-W11,H1,259,22403.5,4,3,2025-03-10
Beverages,2025-W12,H1,598,72187.0,3,3,2025-03-20
Beverages,2025-W13,H1,1581,249616.5,6,6,2025-03-24
Beverages,2025-W14,H1,20158,3388180.75,10,9,2025-03-31
Beverages,2025-W15,H1,3819,617526.0,6,6,2025-04-07
Beverages,2025-W16,H1,1306,184726.5,6,6,2025-04-14
Beverages,2025-W17,H1,3442,456898.0,3,3,2025-04-21
Beverages,2025-W18,H1,11482,1957127.11,15,15,2025-04-28
Beverages,2025-W19,H1,5782,991112.64,13,13,2025-05-05
Beverages,2025-W20,H1,14988,2577829.71,18,17,2025-05-12
Beverages,2025-W21,H1,5300,903434.68,8,7,2025-05-21
Beverages,2025-W22,H1,8736,1502077.28,24,24,2025-05-27
Beverages,2025-W24,H1,1704,148296.0,2,2,2025-06-10
Beverages,2025-W25,H1,5064,437256.0,4,4,2025-06-17
Beverages,2025-W26,H1,10080,866880.0,6,6,2025-06-23
Brand Manufacturers,2025-W03,H1,14,2448.0,2,2,2025-01-13
Brand Manufacturers,2025-W05,H1,18,2640.0,2,2,2025-01-28
Brand Manufacturers,2025-W06,H1,433,65427.0,12,9,2025-02-04
Brand Manufacturers,2025-W07,H1,399,62318.0,12,5,2025-02-10
Brand Manufacturers,2025-W08,H1,252,57950.0,11,6,2025-02-17
Brand Manufacturers,2025-W09,H1,72,11900.0,5,4,2025-02-25
Brand Manufacturers,2025-W11,H1,59,7552.0,1,1,2025-03-13
Brand Manufacturers,2025-W12,H1,279,35712.0,1,1,2025-03-20
Brand Manufacturers,2025-W14,H1,14,1934.52,1,1,2025-04-01
Brand Manufacturers,2025-W15,H1,138,17918.5,4,4,2025-04-07
Brand Manufacturers,2025-W16,H1,2008,277465.44,7,7,2025-04-14
Brand Manufacturers,2025-W17,H1,54,7461.72,3,3,2025-04-22
Brand Manufacturers,2025-W18,H1,36,4974.48,2,2,2025-04-29
Brand Manufacturers,2025-W19,H1,102,13056.0,1,1,2025-05-07
Brand Manufacturers,2025-W20,H1,14,1792.0,1,1,2025-05-13
Brand Manufacturers,2025-W23,H1,209,57720.0,7,4,2025-06-04
Brand Manufacturers,2025-W24,H1,164,23010.0,11,6,2025-06-09
Brand Manufacturers,2025-W25,H1,160,44440.0,7,4,2025-06-17
Brand Manufacturers,2025-W26,H1,391,110042.0,15,8,2025-06-23
Food,2025-W02,H1,196570,51618728.7,168,128,2025-01-06
Food,2025-W03,H1,339772,77497722.09,252,182,2025-01-13
Food,2025-W04,H1,465660,115314571.14,321,216,2025-01-20
Food,2025-W05,H1,497826,107493214.14,349,236,2025-01-27
Food,2025-W06,H1,96199,24389391.52,123,100,2025-02-03
Food,2025-W07,H1,62450,15907388.58,109,93,2025-02-10
Food,2025-W08,H1,101305,27152132.18,159,126,2025-02-17
Food,2025-W09,H1,46139,11720332.3,75,57,2025-02-24
Food,2025-W10,H1,91093,16392787.27,159,122,2025-03-03
Food,2025-W11,H1,64530,12193400.24,137,120,2025-03-10
Food,2025-W12,H1,131876,26691402.72,221,155,2025-03-17
Food,2025-W13,H1,114268,23501566.330000002,195,148,2025-03-24
Food,2025-W14,H1,169441,35039222.72,279,203,2025-03-31
Food,2025-W15,H1,75829,18248003.17,361,250,2025-04-07
Food,2025-W16,H1,68181,17288549.04,310,225,2025-04-14
Food,2025-W17,H1,89999,21574445.97,336,239,2025-04-21
Food,2025-W18,H1,114749,30427314.15,305,214,2025-04-28
Food,2025-W19,H1,136533,29484054.12,225,166,2025-05-05
Food,2025-W20,H1,147921,31826740.3,375,235,2025-05-12
Food,2025-W21,H1,141761,33375616.01,408,256,2025-05-19
Food,2025-W22,H1,104530,24830998.21,276,208,2025-05-26
Food,2025-W23,H1,47992,13208039.36,109,88,2025-06-02
Food,2025-W24,H1,85153,21320046.92,258,166,2025-06-09
Food,2025-W25,H1,68755,19403107.66,202,143,2025-06-16
Food,2025-W26,H1,96331,23304249.87,392,224,2025-06-23
Hardware,2025-W02,H1,30378,4742580.0,69,66,2025-01-06
Hardware,2025-W03,H1,50994,9118177.2,131,117,2025-01-13
Hardware,2025-W04,H1,90848,12209012.92,147,131,2025-01-20
Hardware,2025-W05,H1,124374,17736801.36,201,155,2025-01-27
Hardware,2025-W06,H1,234128,32460199.7,373,117,2025-02-03
Hardware,2025-W07,H1,249348,33043772.05,388,128,2025-02-10
Hardware,2025-W08,H1,185896,28526721.9,386,144,2025-02-17
Hardware,2025-W09,H1,117107,18720214.85,225,96,2025-02-24
Hardware,2025-W10,H1,21655,3965757.5,99,81,2025-03-03
