customer_id,customer_name,region_name,year_week,period,quantity,revenue,num_orders,date
1,KWAMBA INVESTMENTS,Gauteng,2025-W02,H1,26176,7850400.0,3,2025-01-10
1,KWAMBA INVESTMENTS,Gauteng,2025-W03,H1,22900,9618840.0,4,2025-01-13
1,KWAMBA INVESTMENTS,Gauteng,2025-W04,H1,53038,11880018.280000001,6,2025-01-20
1,KWAMBA INVESTMENTS,Gauteng,2025-W05,H1,59893,9543256.0,6,2025-01-27
1,KWAMBA INVESTMENTS,Gauteng,2025-W06,H1,8457,1442878.0,5,2025-02-04
1,KWAMBA INVESTMENTS,Gauteng,2025-W07,H1,1721,301378.0,4,2025-02-11
1,KWAMBA INVESTMENTS,Gauteng,2025-W08,H1,6270,1162791.5,4,2025-02-17
1,KWAMBA INVESTMENTS,Gauteng,2025-W09,H1,1951,663368.0,2,2025-02-28
1,KWAMBA INVESTMENTS,Gauteng,2025-W10,H1,14662,1715670.0,5,2025-03-04
1,KWAMBA INVESTMENTS,Gauteng,2025-W11,H1,19669,3109498.6,5,2025-03-10
1,KWAMBA INVESTMENTS,Gauteng,2025-W12,H1,63142,6619705.85,20,2025-03-17
1,KWAMBA INVESTMENTS,Gauteng,2025-W13,H1,11571,2139185.6,5,2025-03-24
1,KWAMBA INVESTMENTS,Gauteng,2025-W14,H1,33059,3141036.46,2,2025-04-02
1,KWAMBA INVESTMENTS,Gauteng,2025-W15,H1,9759,1530537.81,5,2025-04-07
1,KWAMBA INVESTMENTS,Gauteng,2025-W16,H1,77323,4498516.71,5,2025-04-14
1,KWAMBA INVESTMENTS,Gauteng,2025-W17,H1,43098,3321164.69,6,2025-04-21
1,KWAMBA INVESTMENTS,Gauteng,2025-W18,H1,18702,3074200.86,3,2025-04-28
1,KWAMBA INVESTMENTS,Gauteng,2025-W19,H1,7863,1541945.9600000002,1,2025-05-06
1,KWAMBA INVESTMENTS,Gauteng,2025-W20,H1,32484,7039886.31,4,2025-05-12
1,KWAMBA INVESTMENTS,Gauteng,2025-W21,H1,1152,207838.05,1,2025-05-23
1,KWAMBA INVESTMENTS,Gauteng,2025-W22,H1,1460,241822.0,2,2025-05-26
1,KWAMBA INVESTMENTS,Gauteng,2025-W23,H1,4420,805204.6,6,2025-06-03
1,KWAMBA INVESTMENTS,Gauteng,2025-W24,H1,8427,1207788.04,14,2025-06-09
1,KWAMBA INVESTMENTS,Gauteng,2025-W25,H1,12390,1957673.7,15,2025-06-16
1,KWAMBA INVESTMENTS,Gauteng,2025-W26,H1,26171,2549847.63,4,2025-06-24
1,KWAMBA INVESTMENTS,Gauteng,2025-W27,H2,42148,7846740.66,3,2025-06-30
1,KWAMBA INVESTMENTS,Gauteng,2025-W28,H2,7293,2419664.99,6,2025-07-09
1,KWAMBA INVESTMENTS,Gauteng,2025-W29,H2,2453,434644.08999999997,5,2025-07-14
1,KWAMBA INVESTMENTS,Gauteng,2025-W30,H2,7169,1292183.85,10,2025-07-21
1,KWAMBA INVESTMENTS,Gauteng,2025-W31,H2,16411,4186297.64,15,2025-07-28
1,KWAMBA INVESTMENTS,Gauteng,2025-W32,H2,4659,633852.0,1,2025-08-08
1,KWAMBA INVESTMENTS,Gauteng,2025-W33,H2,59085,9819650.17,19,2025-08-11
1,KWAMBA INVESTMENTS,Gauteng,2025-W34,H2,10263,1639773.59,6,2025-08-19
1,KWAMBA INVESTMENTS,Gauteng,2025-W35,H2,6028,1510931.6,3,2025-08-26
1,KWAMBA INVESTMENTS,Gauteng,2025-W36,H2,21945,5420407.15,20,2025-09-01
1,KWAMBA INVESTMENTS,Gauteng,2025-W37,H2,16164,2253305.82,12,2025-09-09
1,KWAMBA INVESTMENTS,Gauteng,2025-W38,H2,18976,3935207.4699999997,10,2025-09-15
1,KWAMBA INVESTMENTS,Gauteng,2025-W39,H2,1574,811510.75,3,2025-09-27
1,KWAMBA INVESTMENTS,Gauteng,2025-W40,H2,22731,3117975.69,10,2025-09-29
1,KWAMBA INVESTMENTS,Gauteng,2025-W41,H2,6488,1190799.53,15,2025-10-06
1,KWAMBA INVESTMENTS,Gauteng,2025-W42,H2,680,241918.98,3,2025-10-13
1,KWAMBA INVESTMENTS,Gauteng,2025-W43,H2,34083,7101876.97,15,2025-10-20
1,KWAMBA INVESTMENTS,Gauteng,2025-W44,H2,61005,8829947.42,15,2025-10-27
1,KWAMBA INVESTMENTS,Gauteng,2025-W45,H2,39183,2137795.5,10,2025-11-03
1,KWAMBA INVESTMENTS,Gauteng,2025-W46,H2,151888,11433319.77,51,2025-11-10
1,KWAMBA INVESTMENTS,Gauteng,2025-W47,H2,193268,5608386.84,25,2025-11-17
1,KWAMBA INVESTMENTS,Gauteng,2025-W48,H2,44297,921263.6900000001,4,2025-11-24
1,KWAMBA INVESTMENTS,Gauteng,2025-W49,H2,10177,1895811.15,10,2025-12-01
1,KWAMBA INVESTMENTS,Gauteng,2025-W50,H2,7475,2035681.03,6,2025-12-08
1,KWAMBA INVESTMENTS,Gauteng,2025-W51,H2,1314,133618.0,3,2025-12-17
2,AMBICOR 121,Gauteng,2025-W02,H1,15448,4044938.0,3,2025-01-08
2,AMBICOR 121,Gauteng,2025-W03,H1,25076,6575756.0,3,2025-01-14
2,AMBICOR 121,Gauteng,2025-W04,H1,21012,2140637.2800000003,1,2025-01-20
2,AMBICOR 121,Gauteng,2025-W05,H1,12496,2954992.0,2,2025-01-30
2,AMBICOR 121,Gauteng,2025-W06,H1,8057,1279675.5,4,2025-02-03
