customer_id,customer_name,region_name,year_week,period,quantity,revenue,num_orders,date
1,KWAMBA INVESTMENTS,Gauteng,2025-W27,H2,42148,7846740.66,3,2025-06-30
1,KWAMBA INVESTMENTS,Gauteng,2025-W28,H2,7293,2419664.99,6,2025-07-09
1,KWAMBA INVESTMENTS,Gauteng,2025-W29,H2,2453,434644.08999999997,5,2025-07-14
1,KWAMBA INVESTMENTS,Gauteng,2025-W30,H2,7169,1292183.85,10,2025-07-21
1,KWAMBA INVESTMENTS,Gauteng,2025-W31,H2,16411,4186297.64,15,2025-07-28
1,KWAMBA INVESTMENTS,Gauteng,2025-W32,H2,4659,633852.0,1,2025-08-08
1,KWAMBA INVESTMENTS,Gauteng,2025-W33,H2,59085,9819650.17,19,2025-08-11
1,KWAMBA INVESTMENTS,Gauteng,2025-W34,H2,10263,1639773.59,6,2025-08-19
1,KWAMBA INVESTMENTS,Gauteng,2025-W35,H2,6028,1510931.6,3,2025-08-26
1,KWAMBA INVESTMENTS,Gauteng,2025-W36,H2,21945,5420407.15,20,2025-09-01
1,KWAMBA INVESTMENTS,Gauteng,2025-W37,H2,16164,2253305.82,12,2025-09-09
1,KWAMBA INVESTMENTS,Gauteng,2025-W38,H2,18976,3935207.4699999997,10,2025-09-15
1,KWAMBA INVESTMENTS,Gauteng,2025-W39,H2,1574,811510.75,3,2025-09-27
1,KWAMBA INVESTMENTS,Gauteng,2025-W40,H2,22731,3117975.69,10,2025-09-29
1,KWAMBA INVESTMENTS,Gauteng,2025-W41,H2,6488,1190799.53,15,2025-10-06
1,KWAMBA INVESTMENTS,Gauteng,2025-W42,H2,680,241918.98,3,2025-10-13
1,KWAMBA INVESTMENTS,Gauteng,2025-W43,H2,34083,7101876.97,15,2025-10-20
1,KWAMBA INVESTMENTS,Gauteng,2025-W44,H2,61005,8829947.42,15,2025-10-27
1,KWAMBA INVESTMENTS,Gauteng,2025-W45,H2,39183,2137795.5,10,2025-11-03
1,KWAMBA INVESTMENTS,Gauteng,2025-W46,H2,151888,11433319.77,51,2025-11-10
1,KWAMBA INVESTMENTS,Gauteng,2025-W47,H2,193268,5608386.84,25,2025-11-17
1,KWAMBA INVESTMENTS,Gauteng,2025-W48,H2,44297,921263.6900000001,4,2025-11-24
1,KWAMBA INVESTMENTS,Gauteng,2025-W49,H2,10177,1895811.15,10,2025-12-01
1,KWAMBA INVESTMENTS,Gauteng,2025-W50,H2,7475,2035681.03,6,2025-12-08
1,KWAMBA INVESTMENTS,Gauteng,2025-W51,H2,1314,133618.0,3,2025-12-17
2,AMBICOR 121,Gauteng,2025-W27,H2,28190,4293275.65,3,2025-06-30
2,AMBICOR 121,Gauteng,2025-W28,H2,18586,3937740.0,4,2025-07-09
2,AMBICOR 121,Gauteng,2025-W29,H2,258,27791.0,1,2025-07-17
2,AMBICOR 121,Gauteng,2025-W30,H2,3261,467527.0,7,2025-07-22
2,AMBICOR 121,Gauteng,2025-W31,H2,9092,1217396.27,12,2025-07-28
2,AMBICOR 121,Gauteng,2025-W32,H2,4617,1252046.81,2,2025-08-05
2,AMBICOR 121,Gauteng,2025-W33,H2,33687,6609951.42,16,2025-08-11
2,AMBICOR 121,Gauteng,2025-W34,H2,6788,996336.19,4,2025-08-19
2,AMBICOR 121,Gauteng,2025-W35,H2,7310,1636263.97,5,2025-08-25
2,AMBICOR 121,Gauteng,2025-W36,H2,17370,2777307.09,13,2025-09-03
2,AMBICOR 121,Gauteng,2025-W37,H2,2064,753656.12,10,2025-09-08
2,AMBICOR 121,Gauteng,2025-W38,H2,10940,2792649.44,10,2025-09-15
2,AMBICOR 121,Gauteng,2025-W39,H2,2839,1278428.02,6,2025-09-23
2,AMBICOR 121,Gauteng,2025-W40,H2,2295,429998.79,5,2025-09-29
2,AMBICOR 121,Gauteng,2025-W41,H2,9993,2059413.48,15,2025-10-06
2,AMBICOR 121,Gauteng,2025-W43,H2,8786,1656192.45,5,2025-10-22
2,AMBICOR 121,Gauteng,2025-W44,H2,62748,8699632.14,17,2025-10-27
2,AMBICOR 121,Gauteng,2025-W45,H2,40019,2038499.23,5,2025-11-05
2,AMBICOR 121,Gauteng,2025-W46,H2,36743,1734244.14,4,2025-11-11
2,AMBICOR 121,Gauteng,2025-W47,H2,237946,5884579.23,17,2025-11-17
2,AMBICOR 121,Gauteng,2025-W48,H2,84311,2707814.9,5,2025-11-24
2,AMBICOR 121,Gauteng,2025-W49,H2,12737,1833274.64,11,2025-12-01
2,AMBICOR 121,Gauteng,2025-W50,H2,9793,1441512.85,6,2025-12-08
2,AMBICOR 121,Gauteng,2025-W51,H2,899,196054.21,3,2025-12-16
3,"SUPERMERCADO TODO DIA, LDA",Gauteng,2025-W27,H2,17201,3522465.99,4,2025-06-30
3,"SUPERMERCADO TODO DIA, LDA",Gauteng,2025-W28,H2,143,30634.989999999998,1,2025-07-10
3,"SUPERMERCADO TODO DIA, LDA",Gauteng,2025-W29,H2,3719,1186528.0,2,2025-07-17
3,"SUPERMERCADO TODO DIA, LDA",Gauteng,2025-W30,H2,30228,3279785.5,8,2025-07-21
3,"SUPERMERCADO TODO DIA, LDA",Gauteng,2025-W31,H2,9146,1550432.9,13,2025-07-28
3,"SUPERMERCADO TODO DIA, LDA",Gauteng,2025-W32,H2,6333,1518566.94,3,2025-08-05
3,"SUPERMERCADO TODO DIA, LDA",Gauteng,2025-W33,H2,38802,4911285.15,10,2025-08-11
3,"SUPERMERCADO TODO DIA, LDA",Gauteng,2025-W34,H2,6836,1239102.23,4,2025-08-20
3,"SUPERMERCADO TODO DIA, LDA",Gauteng,2025-W35,H2,10388,1739093.08,5,2025-08-25
3,"SUPERMERCADO TODO DIA, LDA",Gauteng,2025-W36,H2,11917,2400367.13,9,2025-09-02
3,"SUPERMERCADO TODO DIA, LDA",Gauteng,2025-W37,H2,16163,3167927.5700000003,11,2025-09-09
3,"SUPERMERCADO TODO DIA, LDA",Gauteng,2025-W38,H2,9192,2383785.26,9,2025-09-15
3,"SUPERMERCADO TODO DIA, LDA",Gauteng,2025-W39,H2,5939,786247.72,5,2025-09-23
3,"SUPERMERCADO TODO DIA, LDA",Gauteng,2025-W40,H2,8521,1374069.53,7,2025-09-29
3,"SUPERMERCADO TODO DIA, LDA",Gauteng,2025-W41,H2,7920,1602017.52,11,2025-10-06
3,"SUPERMERCADO TODO DIA, LDA",Gauteng,2025-W42,H2,186,21768.0,1,2025-10-13
3,"SUPERMERCADO TODO DIA, LDA",Gauteng,2025-W43,H2,3548,867510.7,3,2025-10-21
3,"SUPERMERCADO TODO DIA, LDA",Gauteng,2025-W44,H2,34894,8877291.33,16,2025-10-27
3,"SUPERMERCADO TODO DIA, LDA",Gauteng,2025-W45,H2,78519,3699984.63,6,2025-11-03
3,"SUPERMERCADO TODO DIA, LDA",Gauteng,2025-W46,H2,38976,1429537.0,5,2025-11-10
3,"SUPERMERCADO TODO DIA, LDA",Gauteng,2025-W47,H2,178531,4479658.42,14,2025-11-17
3,"SUPERMERCADO TODO DIA, LDA",Gauteng,2025-W48,H2,91218,2147898.92,7,2025-11-24
3,"SUPERMERCADO TODO DIA, LDA",Gauteng,2025-W49,H2,14801,2783707.9,7,2025-12-01
3,"SUPERMERCADO TODO DIA, LDA",Gauteng,2025-W50,H2,3901,501547.64,2,2025-12-09
3,"SUPERMERCADO TODO DIA, LDA",Gauteng,2025-W51,H2,567,109848.76000000001,3,2025-12-17
4,SEGWAGWA CC,Gauteng,2025-W28,H2,3983,1689225.84,5,2025-07-07
4,SEGWAGWA CC,Gauteng,2025-W29,H2,10414,1555307.0,3,2025-07-16
4,SEGWAGWA CC,Gauteng,2025-W30,H2,12004,2771966.3,12,2025-07-21
4,SEGWAGWA CC,Gauteng,2025-W31,H2,5925,1212630.85,12,2025-07-28
4,SEGWAGWA CC,Gauteng,2025-W32,H2,2879,688577.31,2,2025-08-04
4,SEGWAGWA CC,Gauteng,2025-W33,H2,31422,5047759.07,8,2025-08-11
4,SEGWAGWA CC,Gauteng,2025-W34,H2,10118,2012060.58,7,2025-08-18
