sku,description,category,date,period,quantity,revenue,num_orders,num_customers
10002,CABLE FTE 1.5mm X 2 CORE WHITE 100M COIL,Hardware,2025-02-01,H1,100,125000.0,1,1
10002,CABLE FTE 1.5mm X 2 CORE WHITE 100M COIL,Hardware,2025-02-03,H1,500,615000.0,4,4
10002,CABLE FTE 1.5mm X 2 CORE WHITE 100M COIL,Hardware,2025-02-04,H1,250,312500.0,3,3
10002,CABLE FTE 1.5mm X 2 CORE WHITE 100M COIL,Hardware,2025-02-05,H1,465,581250.0,8,6
10002,CABLE FTE 1.5mm X 2 CORE WHITE 100M COIL,Hardware,2025-02-06,H1,480,600000.0,7,6
10002,CABLE FTE 1.5mm X 2 CORE WHITE 100M COIL,Hardware,2025-02-07,H1,70,87500.0,3,3
10002,CABLE FTE 1.5mm X 2 CORE WHITE 100M COIL,Hardware,2025-02-08,H1,260,325000.0,4,3
10002,CABLE FTE 1.5mm X 2 CORE WHITE 100M COIL,Hardware,2025-02-10,H1,330,407500.0,9,9
10002,CABLE FTE 1.5mm X 2 CORE WHITE 100M COIL,Hardware,2025-02-11,H1,800,1000000.0,13,8
10002,CABLE FTE 1.5mm X 2 CORE WHITE 100M COIL,Hardware,2025-02-12,H1,290,362500.0,6,6
10002,CABLE FTE 1.5mm X 2 CORE WHITE 100M COIL,Hardware,2025-02-13,H1,250,312500.0,2,2
10002,CABLE FTE 1.5mm X 2 CORE WHITE 100M COIL,Hardware,2025-02-14,H1,400,500000.0,4,4
10002,CABLE FTE 1.5mm X 2 CORE WHITE 100M COIL,Hardware,2025-02-15,H1,620,775000.0,5,5
10002,CABLE FTE 1.5mm X 2 CORE WHITE 100M COIL,Hardware,2025-02-17,H1,170,212500.0,3,3
10002,CABLE FTE 1.5mm X 2 CORE WHITE 100M COIL,Hardware,2025-02-18,H1,40,50000.0,3,3
10002,CABLE FTE 1.5mm X 2 CORE WHITE 100M COIL,Hardware,2025-02-19,H1,360,450000.0,6,6
10002,CABLE FTE 1.5mm X 2 CORE WHITE 100M COIL,Hardware,2025-02-20,H1,370,462500.0,6,6
10002,CABLE FTE 1.5mm X 2 CORE WHITE 100M COIL,Hardware,2025-02-21,H1,450,562500.0,4,3
10002,CABLE FTE 1.5mm X 2 CORE WHITE 100M COIL,Hardware,2025-02-22,H1,210,262500.0,3,3
10002,CABLE FTE 1.5mm X 2 CORE WHITE 100M COIL,Hardware,2025-02-24,H1,150,187500.0,2,2
10002,CABLE FTE 1.5mm X 2 CORE WHITE 100M COIL,Hardware,2025-02-25,H1,345,431250.0,7,5
10002,CABLE FTE 1.5mm X 2 CORE WHITE 100M COIL,Hardware,2025-02-26,H1,260,325000.0,4,4
10002,CABLE FTE 1.5mm X 2 CORE WHITE 100M COIL,Hardware,2025-02-27,H1,100,125000.0,1,1
10002,CABLE FTE 1.5mm X 2 CORE WHITE 100M COIL,Hardware,2025-02-28,H1,780,975000.0,11,7
10002,CABLE FTE 1.5mm X 2 CORE WHITE 100M COIL,Hardware,2025-06-02,H1,250,312500.0,2,2
10002,CABLE FTE 1.5mm X 2 CORE WHITE 100M COIL,Hardware,2025-06-03,H1,100,125000.0,1,1
10002,CABLE FTE 1.5mm X 2 CORE WHITE 100M COIL,Hardware,2025-06-04,H1,750,937500.0,6,6
10002,CABLE FTE 1.5mm X 2 CORE WHITE 100M COIL,Hardware,2025-06-05,H1,270,337500.0,3,3
10002,CABLE FTE 1.5mm X 2 CORE WHITE 100M COIL,Hardware,2025-06-06,H1,80,100000.0,3,3
10002,CABLE FTE 1.5mm X 2 CORE WHITE 100M COIL,Hardware,2025-06-07,H1,320,400000.0,6,6
10002,CABLE FTE 1.5mm X 2 CORE WHITE 100M COIL,Hardware,2025-06-09,H1,330,412500.0,5,5
10002,CABLE FTE 1.5mm X 2 CORE WHITE 100M COIL,Hardware,2025-06-10,H1,100,125000.0,2,2
10002,CABLE FTE 1.5mm X 2 CORE WHITE 100M COIL,Hardware,2025-06-11,H1,410,512500.0,4,3
10002,CABLE FTE 1.5mm X 2 CORE WHITE 100M COIL,Hardware,2025-06-12,H1,260,325000.0,4,4
10002,CABLE FTE 1.5mm X 2 CORE WHITE 100M COIL,Hardware,2025-06-13,H1,485,606250.0,8,6
10002,CABLE FTE 1.5mm X 2 CORE WHITE 100M COIL,Hardware,2025-06-14,H1,20,25000.0,2,2
10002,CABLE FTE 1.5mm X 2 CORE WHITE 100M COIL,Hardware,2025-06-16,H1,350,437500.0,4,4
10002,CABLE FTE 1.5mm X 2 CORE WHITE 100M COIL,Hardware,2025-06-17,H1,470,587500.0,7,5
10002,CABLE FTE 1.5mm X 2 CORE WHITE 100M COIL,Hardware,2025-06-18,H1,600,750000.0,10,10
10002,CABLE FTE 1.5mm X 2 CORE WHITE 100M COIL,Hardware,2025-06-19,H1,700,875000.0,10,8
10002,CABLE FTE 1.5mm X 2 CORE WHITE 100M COIL,Hardware,2025-06-20,H1,100,125000.0,4,3
10002,CABLE FTE 1.5mm X 2 CORE WHITE 100M COIL,Hardware,2025-06-21,H1,220,275000.0,5,4
10002,CABLE FTE 1.5mm X 2 CORE WHITE 100M COIL,Hardware,2025-06-23,H1,110,137500.0,6,6
10002,CABLE FTE 1.5mm X 2 CORE WHITE 100M COIL,Hardware,2025-06-24,H1,75,93750.0,3,3
10002,CABLE FTE 1.5mm X 2 CORE WHITE 100M COIL,Hardware,2025-06-25,H1,70,87500.0,4,4
10002,CABLE FTE 1.5mm X 2 CORE WHITE 100M COIL,Hardware,2025-06-26,H1,505,631250.0,11,9
10002,CABLE FTE 1.5mm X 2 CORE WHITE 100M COIL,Hardware,2025-06-27,H1,255,318750.0,7,6
10002,CABLE FTE 1.5mm X 2 CORE WHITE 100M COIL,Hardware,2025-06-28,H1,590,762500.0,11,9
10002,FTE 1.5mm X 2 CORE WHITE 100M COIL,Hardware,2025-02-26,H1,40,50000.0,1,1
10002,FTE 1.5mm X 2 CORE WHITE 100M COIL,Hardware,2025-06-16,H1,40,50000.0,1,1
10003,CABLE GPW 2.5mm RED 100M COIL,Hardware,2025-02-01,H1,50,32500.0,1,1
10003,CABLE GPW 2.5mm RED 100M COIL,Hardware,2025-02-03,H1,10,6500.0,3,1
10003,CABLE GPW 2.5mm RED 100M COIL,Hardware,2025-02-04,H1,60,39000.0,2,2
10003,CABLE GPW 2.5mm RED 100M COIL,Hardware,2025-02-05,H1,20,13000.0,2,2
10003,CABLE GPW 2.5mm RED 100M COIL,Hardware,2025-02-06,H1,30,19500.0,3,3
10003,CABLE GPW 2.5mm RED 100M COIL,Hardware,2025-02-08,H1,20,13000.0,1,1
10003,CABLE GPW 2.5mm RED 100M COIL,Hardware,2025-02-10,H1,10,6200.0,1,1
10003,CABLE GPW 2.5mm RED 100M COIL,Hardware,2025-02-11,H1,50,31000.0,4,3
10003,CABLE GPW 2.5mm RED 100M COIL,Hardware,2025-02-12,H1,30,18600.0,3,3
10003,CABLE GPW 2.5mm RED 100M COIL,Hardware,2025-02-14,H1,50,31250.0,1,1
10003,CABLE GPW 2.5mm RED 100M COIL,Hardware,2025-02-15,H1,10,6200.0,1,1
10003,CABLE GPW 2.5mm RED 100M COIL,Hardware,2025-02-17,H1,10,6400.0,1,1
10003,CABLE GPW 2.5mm RED 100M COIL,Hardware,2025-02-19,H1,30,18800.0,3,2
10003,CABLE GPW 2.5mm RED 100M COIL,Hardware,2025-02-20,H1,20,12500.0,2,2
10003,CABLE GPW 2.5mm RED 100M COIL,Hardware,2025-02-21,H1,30,18600.0,3,3
10003,CABLE GPW 2.5mm RED 100M COIL,Hardware,2025-02-26,H1,50,32000.0,1,1
10003,CABLE GPW 2.5mm RED 100M COIL,Hardware,2025-02-28,H1,50,31000.0,4,3
10003,CABLE GPW 2.5mm RED 100M COIL,Hardware,2025-06-03,H1,50,31250.0,1,1
10003,CABLE GPW 2.5mm RED 100M COIL,Hardware,2025-06-05,H1,10,6200.0,1,1
10003,CABLE GPW 2.5mm RED 100M COIL,Hardware,2025-06-06,H1,10,6400.0,1,1
10003,CABLE GPW 2.5mm RED 100M COIL,Hardware,2025-06-07,H1,20,12400.0,2,1
10003,CABLE GPW 2.5mm RED 100M COIL,Hardware,2025-06-09,H1,10,6400.0,1,1
10003,CABLE GPW 2.5mm RED 100M COIL,Hardware,2025-06-10,H1,10,6200.0,1,1
10003,CABLE GPW 2.5mm RED 100M COIL,Hardware,2025-06-11,H1,30,18700.0,3,3
10003,CABLE GPW 2.5mm RED 100M COIL,Hardware,2025-06-12,H1,10,6200.0,1,1
10003,CABLE GPW 2.5mm RED 100M COIL,Hardware,2025-06-16,H1,50,32000.0,1,1
10003,CABLE GPW 2.5mm RED 100M COIL,Hardware,2025-06-17,H1,10,6200.0,1,1
10003,CABLE GPW 2.5mm RED 100M COIL,Hardware,2025-06-18,H1,70,43400.0,6,6
10003,CABLE GPW 2.5mm RED 100M COIL,Hardware,2025-06-19,H1,110,68200.0,3,2
10003,CABLE GPW 2.5mm RED 100M COIL,Hardware,2025-06-21,H1,10,6200.0,1,1
10003,CABLE GPW 2.5mm RED 100M COIL,Hardware,2025-06-23,H1,10,6200.0,1,1
10003,CABLE GPW 2.5mm RED 100M COIL,Hardware,2025-06-24,H1,10,6300.0,1,1
10003,CABLE GPW 2.5mm RED 100M COIL,Hardware,2025-06-26,H1,40,24800.0,3,3
10003,CABLE GPW 2.5mm RED 100M COIL,Hardware,2025-06-27,H1,30,18300.0,3,3
10004,CABLE GPW 1.5mm RED 100M COIL,Hardware,2025-02-01,H1,50,22500.0,1,1
10004,CABLE GPW 1.5mm RED 100M COIL,Hardware,2025-02-03,H1,10,4500.0,1,1
10004,CABLE GPW 1.5mm RED 100M COIL,Hardware,2025-02-04,H1,60,27000.0,2,2
10004,CABLE GPW 1.5mm RED 100M COIL,Hardware,2025-02-05,H1,20,9000.0,2,2
10004,CABLE GPW 1.5mm RED 100M COIL,Hardware,2025-02-06,H1,35,15750.0,3,3
10004,CABLE GPW 1.5mm RED 100M COIL,Hardware,2025-02-08,H1,35,15750.0,2,1
10004,CABLE GPW 1.5mm RED 100M COIL,Hardware,2025-02-10,H1,10,4200.0,1,1
10004,CABLE GPW 1.5mm RED 100M COIL,Hardware,2025-02-11,H1,20,8400.0,2,2
10004,CABLE GPW 1.5mm RED 100M COIL,Hardware,2025-02-12,H1,20,8400.0,2,2
