sku,description,category,year_week,period,quantity,revenue,num_orders,num_customers,date
10001,TEST PAGE,Unknown,2025-W36,H2,307,36732.55,4,4,2025-09-03
10001,TEST PAGE,Unknown,2025-W37,H2,235,83754.0,4,4,2025-09-10
10001,TEST PAGE,Unknown,2025-W39,H2,1228,254779.2,2,2,2025-09-27
10001,TEST PAGE,Unknown,2025-W40,H2,1304,257243.6,2,2,2025-09-30
10001,TEST PAGE,Unknown,2025-W41,H2,105,23677.5,4,4,2025-10-09
10001,TEST PAGE,Unknown,2025-W42,H2,175,39462.5,3,3,2025-10-13
10001,TEST PAGE,Unknown,2025-W43,H2,401,90425.5,9,9,2025-10-21
10001,TEST PAGE,Unknown,2025-W44,H2,80,18040.0,1,1,2025-10-29
10001,TEST PAGE,Unknown,2025-W49,H2,215,54323.3,5,5,2025-12-01
10001,TEST PAGE,Unknown,2025-W50,H2,2875,664255.5,11,11,2025-12-08
10001,TEST PAGE,Unknown,2025-W51,H2,3020,709022.0,15,15,2025-12-15
10002,CABLE FTE 1.5mm X 2 CORE WHITE 100M COIL,Hardware,2025-W05,H1,100,125000.0,1,1,2025-02-01
10002,CABLE FTE 1.5mm X 2 CORE WHITE 100M COIL,Hardware,2025-W06,H1,2025,2521250.0,29,16,2025-02-03
10002,CABLE FTE 1.5mm X 2 CORE WHITE 100M COIL,Hardware,2025-W07,H1,2690,3357500.0,39,23,2025-02-10
10002,CABLE FTE 1.5mm X 2 CORE WHITE 100M COIL,Hardware,2025-W08,H1,1600,2000000.0,25,17,2025-02-17
10002,CABLE FTE 1.5mm X 2 CORE WHITE 100M COIL,Hardware,2025-W09,H1,1635,2043750.0,25,14,2025-02-24
10002,CABLE FTE 1.5mm X 2 CORE WHITE 100M COIL,Hardware,2025-W23,H1,1770,2212500.0,21,17,2025-06-02
10002,CABLE FTE 1.5mm X 2 CORE WHITE 100M COIL,Hardware,2025-W24,H1,1605,2006250.0,25,16,2025-06-09
10002,CABLE FTE 1.5mm X 2 CORE WHITE 100M COIL,Hardware,2025-W25,H1,2440,3050000.0,40,16,2025-06-16
10002,CABLE FTE 1.5mm X 2 CORE WHITE 100M COIL,Hardware,2025-W26,H1,1605,2031250.0,42,23,2025-06-23
10002,CABLE FTE 1.5mm X 2 CORE WHITE 100M COIL,Hardware,2025-W27,H2,1672,2090000.0,23,18,2025-06-30
10002,CABLE FTE 1.5mm X 2 CORE WHITE 100M COIL,Hardware,2025-W28,H2,1450,1812500.0,23,16,2025-07-07
10002,CABLE FTE 1.5mm X 2 CORE WHITE 100M COIL,Hardware,2025-W29,H2,1705,2106250.0,21,12,2025-07-14
10002,CABLE FTE 1.5mm X 2 CORE WHITE 100M COIL,Hardware,2025-W30,H2,1425,1781250.0,24,14,2025-07-21
10002,CABLE FTE 1.5mm X 2 CORE WHITE 100M COIL,Hardware,2025-W31,H2,2490,3107500.0,45,19,2025-07-28
10002,CABLE FTE 1.5mm X 2 CORE WHITE 100M COIL,Hardware,2025-W32,H2,1405,1756250.0,34,21,2025-08-04
10002,CABLE FTE 1.5mm X 2 CORE WHITE 100M COIL,Hardware,2025-W33,H2,1772,2241580.2,40,22,2025-08-11
10002,CABLE FTE 1.5mm X 2 CORE WHITE 100M COIL,Hardware,2025-W34,H2,1960,2450000.0,27,18,2025-08-18
10002,CABLE FTE 1.5mm X 2 CORE WHITE 100M COIL,Hardware,2025-W35,H2,1515,1893750.0,21,13,2025-08-25
10002,CABLE FTE 1.5mm X 2 CORE WHITE 100M COIL,Hardware,2025-W36,H2,2200,2750000.0,42,20,2025-09-01
10002,CABLE FTE 1.5mm X 2 CORE WHITE 100M COIL,Hardware,2025-W37,H2,1667,2108750.0,42,21,2025-09-08
10002,CABLE FTE 1.5mm X 2 CORE WHITE 100M COIL,Hardware,2025-W38,H2,1990,2479080.2,20,17,2025-09-15
10002,CABLE FTE 1.5mm X 2 CORE WHITE 100M COIL,Hardware,2025-W39,H2,1575,1968750.0,26,15,2025-09-22
10002,CABLE FTE 1.5mm X 2 CORE WHITE 100M COIL,Hardware,2025-W40,H2,3290,4107500.0,59,21,2025-09-29
10002,CABLE FTE 1.5mm X 2 CORE WHITE 100M COIL,Hardware,2025-W41,H2,1265,1606250.0,37,23,2025-10-06
10002,CABLE FTE 1.5mm X 2 CORE WHITE 100M COIL,Hardware,2025-W42,H2,2682,3354080.2,51,23,2025-10-13
