customer_id,customer_name,primary_region,total_orders,total_units,total_revenue,avg_order_value,avg_days_between_orders,cycle_regularity,buyer_type,top_skus,first_order,last_order,active_weeks,customer_segment
820,MAZWABA TRADING & PROJECTS,Cape Town,49,52482.0,15278838.126713237,311813.0229941477,7.083333333333333,Monthly,High-Value Buyer,"10490,10024,10032,10263,10938",2025-01-11,2025-12-17,37,Medium Retailer
815,THOKOMAN FOODS SA (Pty) Ltd,Cape Town,70,104912.0,21440121.39,306287.44842857146,5.072463768115942,Bi-weekly,Bulk Buyer,"10679,10903,10071,10026,10541",2025-01-06,2025-12-22,46,Bulk/Wholesale
814,BRITS MUTHI SHOP,Cape Town,33,35703.0,7769969.18,235453.6115151515,10.1875,Sporadic,High-Value Buyer,"11119,10675,10263,10541,10032",2025-01-27,2025-12-19,25,Medium Retailer
719,JZH CAPITAL INVESTMENT,Cape Town,57,70222.0,16236542.17,284851.6170175439,6.160714285714286,Bi-weekly,High-Value Buyer,"10046,10047,10659,10026,10660",2025-01-08,2025-12-19,41,Medium Retailer
724,ABANTU CASH AND CARRY,Cape Town,88,99360.0,25427480.789999742,288948.64534090617,4.094117647058823,Weekly,High-Value Buyer,"10869,10032,10541,10024,10263",2025-01-06,2025-12-20,48,Medium Retailer
943,CAMHILL DISTRIBUTORS,Cape Town,69,74160.0,16026085.140839059,232262.10349042114,5.088235294117647,Weekly,High-Value Buyer,"10950,10071,10074,10093,10794",2025-01-10,2025-12-22,49,Medium Retailer
733,BARQADLE GENERAL DEALER,Cape Town,66,87034.0,25406069.0602097,384940.4403062076,5.390625,Bi-weekly,High-Value Buyer,"10186,10869,10032,10080,10083",2025-01-08,2025-12-19,46,Medium Retailer
636,AFRICAN QUALITY TRADING,Cape Town,85,82694.0,18929339.200000003,222698.10823529414,4.375,Bi-weekly,High-Value Buyer,"10541,10263,10026,10071,10244",2025-01-06,2025-12-22,46,Medium Retailer
972,A B C CASH & CARRY,Cape Town,58,72237.0,18621525.992027402,321060.7929659897,6.160714285714286,Bi-weekly,High-Value Buyer,"10032,10447,10754,10044,10051",2025-01-09,2025-12-20,44,Medium Retailer
730,KTA TRADING & PROJECTS,Cape Town,59,58894.0,14729732.83,249656.4886440678,5.9655172413793105,Bi-weekly,High-Value Buyer,"10675,10790,10447,10754,10025",2025-01-07,2025-12-19,41,Medium Retailer
857,SUNNY CASH & CARRY,Cape Town,65,73845.0,18872318.0309789,290343.3543227523,5.28125,Weekly,High-Value Buyer,"10032,10024,10026,10675,10025",2025-01-06,2025-12-10,44,Medium Retailer
678,MD MUTHI SHOP,Cape Town,56,60753.0,13743411.379999999,245418.06035714285,6.2727272727272725,Bi-weekly,High-Value Buyer,"10675,10541,10263,10071,10660",2025-01-08,2025-12-19,42,Medium Retailer
409,JOHN GENERAL,Gauteng,116,110853.0,19469914.026643254,167844.08643657976,3.5,Bi-weekly,Bulk Buyer,"10678,11119,10679,10051,11313",2025-01-10,2025-12-19,44,Bulk/Wholesale
329,AFROHEALTH,Cape Town,95,72863.0,17779571.06,187153.37957894735,3.9318181818181817,Weekly,High-Value Buyer,"10032,10675,10541,10026,10754",2025-01-08,2025-12-20,46,Medium Retailer
836,BEST OPSENT TRADE IN,Cape Town,47,52817.0,11223123.259999743,238789.8565957392,7.5,Monthly,High-Value Buyer,"10032,10541,10754,10244,10026",2025-01-09,2025-12-20,38,Medium Retailer
864,BATHUSENG IMPORTS &  EXPORTS,Cape Town,58,59818.0,14225434.14881114,245266.10601398515,6.142857142857143,Bi-weekly,High-Value Buyer,"10263,10025,10541,10447,10024",2025-01-09,2025-12-19,43,Medium Retailer
931,NKOSANA TUCK SHOP,Cape Town,40,29886.0,7226590.01,180664.75024999998,8.64102564102564,Monthly,High-Value Buyer,"10886,10659,10675,10047,10046",2025-01-15,2025-12-18,31,Medium Retailer
337,QORAHAY GENERAL TRADING,Cape Town,92,113196.0,28072398.639999483,305134.7678260813,3.831460674157303,Weekly,Bulk Buyer,"10490,10754,10026,10678,10901",2025-01-13,2025-12-20,47,Bulk/Wholesale
755,ASHFIR TRADING CC,Cape Town,59,59328.0,13149865.71,222879.07983050848,6.0344827586206895,Bi-weekly,High-Value Buyer,"10026,10025,10024,10020,10032",2025-01-06,2025-12-22,44,Medium Retailer
326,SALEH SWEETS,Cape Town,71,47515.0,8979477.01,126471.50718309858,5.151515151515151,Monthly,High-Value Buyer,"10026,10024,10025,10541,10903",2025-01-13,2025-12-19,36,Medium Retailer
624,KURA SUPER MARKET,Gauteng,168,231491.0,40046347.269999996,238371.11470238093,2.3379310344827586,Weekly,Bulk Buyer,"10679,10678,10140,10447,11119",2025-01-15,2025-12-20,47,Bulk/Wholesale
691,SERIFATU IMPORT AND EXPORT,Cape Town,66,80362.0,21342263.98,323367.63606060605,5.390625,Bi-weekly,High-Value Buyer,"10449,10032,10675,10107,10024",2025-01-07,2025-12-18,44,Medium Retailer
660,RED SEA CASH & CARRY,Cape Town,71,70101.0,15442058.379999999,217493.78,5.074626865671642,Bi-weekly,High-Value Buyer,"10754,10046,10659,10047,10263",2025-01-16,2025-12-22,41,Medium Retailer
426,MANTELA TRADING 220 CC,Cape Town,73,67093.0,17265022.68,236507.16,5.08955223880597,Bi-weekly,High-Value Buyer,"10032,10244,10679,10051,10541",2025-01-15,2025-12-22,42,Medium Retailer
847,EAST AND SOUTH CASH AND CARRY,Cape Town,63,65371.0,17453049.060139842,277032.5247641245,5.629032258064516,Bi-weekly,High-Value Buyer,"10024,10026,10032,10186,10025",2025-01-07,2025-12-22,46,Medium Retailer
390,A K SUPERMARKET,Polokwane,153,185942.0,39394844.14904885,257482.6414970513,2.6,Weekly,Bulk Buyer,"11119,10869,10960,11480,10675",2025-01-15,2025-12-19,47,Bulk/Wholesale
638,TIC & TAC SUPERMARKET,Cape Town,95,73686.0,20271134.284964878,213380.36089436713,4.069767441860465,Weekly,High-Value Buyer,"10032,10107,10263,10541,10869",2025-01-06,2025-12-22,48,Medium Retailer
547,K.G.N SUPPLIERS,Gauteng,36,18995.0,4282524.609999999,118959.01694444443,10.34375,Monthly,High-Value Buyer,"10955,10754,11155,10956,11311",2025-01-22,2025-12-19,26,Medium Retailer
520,SWEET CORNER & COSMETICS,Cape Town,121,147883.0,31413704.03,259617.38867768596,3.326923076923077,Weekly,Bulk Buyer,"11119,10032,10504,10447,10794",2025-01-10,2025-12-22,48,Bulk/Wholesale
784,RIRHANDZU DISTRIBUTORS,Cape Town,64,70849.0,14955152.388321627,233674.25606752542,5.721311475409836,Bi-weekly,High-Value Buyer,"11119,10263,10541,10498,10447",2025-01-07,2025-12-22,44,Medium Retailer
674,LUCKY NR 5 SUPERMARKET,Cape Town,35,27105.0,5891654.58,168332.988,10.029411764705882,Sporadic,High-Value Buyer,"10659,10032,10244,10541,10793",2025-01-15,2025-12-22,31,Medium Retailer
365,OCEAN CASH & CARRY,Cape Town,94,104521.0,27163199.94077471,288970.21213590115,3.8876404494382024,Weekly,Bulk Buyer,"10659,10046,10032,10051,10024",2025-01-07,2025-12-19,49,Bulk/Wholesale
686,AL SYED TRADINGS,Cape Town,75,114445.0,29432244.35,392429.92466666666,4.635135135135135,Weekly,Bulk Buyer,"10032,10026,10025,10024,10675",2025-01-13,2025-12-22,48,Bulk/Wholesale
893,SAJAL TRADERS,Cape Town,66,100882.0,22914944.5,347196.1287878788,5.476190476190476,Bi-weekly,Bulk Buyer,"10218,10494,10498,10263,10541",2025-01-08,2025-12-19,45,Bulk/Wholesale
967,CHAMPION CASH&CARRY,Cape Town,50,38391.0,9902136.926223723,198042.73852447447,7.061224489795919,Bi-weekly,High-Value Buyer,"10754,10263,10541,10793,10938",2025-01-08,2025-12-20,38,Medium Retailer
971,TRIPLE CREST TRADING,Cape Town,46,47662.0,11319368.92,246073.23739130434,6.488888888888889,Monthly,High-Value Buyer,"10107,10071,10541,10263,10498",2025-03-05,2025-12-22,35,Medium Retailer
666,EJABA FIVE STAR DISTRIBUTORS,Cape Town,61,65633.0,17106962.47,280442.00770491804,5.728813559322034,Bi-weekly,High-Value Buyer,"10032,10074,10025,10026,10024",2025-01-14,2025-12-18,41,Medium Retailer
792,S AKBAR TRADING,Cape Town,108,113881.0,28146869.06,260619.15796296296,3.3689320388349513,Weekly,Bulk Buyer,"10675,10490,11388,10796,10869",2025-01-09,2025-12-22,50,Bulk/Wholesale
970,WARRICH CASH AND CARRY,Cape Town,41,43966.0,9580835.69,233678.91926829267,7.05,Monthly,High-Value Buyer,"10498,10541,10263,10244,10026",2025-03-12,2025-12-19,33,Medium Retailer
342,NKATEKO DISTRIBUTORS,Cape Town,80,95523.0,22452220.330000002,280652.75412500004,4.626666666666667,Bi-weekly,High-Value Buyer,"11119,10675,10541,10244,10032",2025-01-09,2025-12-22,46,Medium Retailer
649,GRL WILLIAMS TRADING & PROJECT,Cape Town,66,49981.0,9780306.809999999,148186.4668181818,5.733333333333333,Bi-weekly,High-Value Buyer,"10104,10025,10026,11490,10048",2025-01-10,2025-12-20,36,Medium Retailer
645,DAYSTAR DISTROBUTION,Cape Town,107,128333.0,24750758.980000004,231315.50448598134,3.6595744680851063,Bi-weekly,Bulk Buyer,"11158,10025,10447,10032,10048",2025-01-10,2025-12-20,44,Bulk/Wholesale
