customer_id,customer_name,primary_region,total_orders,total_units,total_revenue,avg_order_value,avg_days_between_orders,cycle_regularity,buyer_type,customer_segment,first_order,last_order,active_weeks
820,MAZWABA TRADING & PROJECTS,Cape Town,49,52482.0,15278838.126713237,311813.0229941477,7.083333333333333,Monthly,High-Value Buyer,Medium Retailer,2025-01-11,2025-12-17,37
815,THOKOMAN FOODS SA (Pty) Ltd,Cape Town,70,104912.0,21440121.39,306287.44842857146,5.072463768115942,Bi-weekly,Bulk Buyer,Bulk/Wholesale,2025-01-06,2025-12-22,46
814,BRITS MUTHI SHOP,Cape Town,33,35703.0,7769969.18,235453.6115151515,10.1875,Sporadic,High-Value Buyer,Medium Retailer,2025-01-27,2025-12-19,25
719,JZH CAPITAL INVESTMENT,Cape Town,57,70222.0,16236542.17,284851.6170175439,6.160714285714286,Bi-weekly,High-Value Buyer,Medium Retailer,2025-01-08,2025-12-19,41
724,ABANTU CASH AND CARRY,Cape Town,88,99360.0,25427480.789999742,288948.64534090617,4.094117647058823,Weekly,High-Value Buyer,Medium Retailer,2025-01-06,2025-12-20,48
943,CAMHILL DISTRIBUTORS,Cape Town,69,74160.0,16026085.140839059,232262.10349042114,5.088235294117647,Weekly,High-Value Buyer,Medium Retailer,2025-01-10,2025-12-22,49
733,BARQADLE GENERAL DEALER,Cape Town,66,87034.0,25406069.0602097,384940.4403062076,5.390625,Bi-weekly,High-Value Buyer,Medium Retailer,2025-01-08,2025-12-19,46
636,AFRICAN QUALITY TRADING,Cape Town,85,82694.0,18929339.200000003,222698.10823529414,4.375,Bi-weekly,High-Value Buyer,Medium Retailer,2025-01-06,2025-12-22,46
972,A B C CASH & CARRY,Cape Town,58,72237.0,18621525.992027402,321060.7929659897,6.160714285714286,Bi-weekly,High-Value Buyer,Medium Retailer,2025-01-09,2025-12-20,44
730,KTA TRADING & PROJECTS,Cape Town,59,58894.0,14729732.83,249656.4886440678,5.9655172413793105,Bi-weekly,High-Value Buyer,Medium Retailer,2025-01-07,2025-12-19,41
857,SUNNY CASH & CARRY,Cape Town,65,73845.0,18872318.0309789,290343.3543227523,5.28125,Weekly,High-Value Buyer,Medium Retailer,2025-01-06,2025-12-10,44
678,MD MUTHI SHOP,Cape Town,56,60753.0,13743411.379999999,245418.06035714285,6.2727272727272725,Bi-weekly,High-Value Buyer,Medium Retailer,2025-01-08,2025-12-19,42
409,JOHN GENERAL,Gauteng,116,110853.0,19469914.026643254,167844.08643657976,3.5,Bi-weekly,Bulk Buyer,Bulk/Wholesale,2025-01-10,2025-12-19,44
329,AFROHEALTH,Cape Town,95,72863.0,17779571.06,187153.37957894735,3.9318181818181817,Weekly,High-Value Buyer,Medium Retailer,2025-01-08,2025-12-20,46
836,BEST OPSENT TRADE IN,Cape Town,47,52817.0,11223123.259999743,238789.8565957392,7.5,Monthly,High-Value Buyer,Medium Retailer,2025-01-09,2025-12-20,38
864,BATHUSENG IMPORTS &  EXPORTS,Cape Town,58,59818.0,14225434.14881114,245266.10601398515,6.142857142857143,Bi-weekly,High-Value Buyer,Medium Retailer,2025-01-09,2025-12-19,43
931,NKOSANA TUCK SHOP,Cape Town,40,29886.0,7226590.01,180664.75024999998,8.64102564102564,Monthly,High-Value Buyer,Medium Retailer,2025-01-15,2025-12-18,31
337,QORAHAY GENERAL TRADING,Cape Town,92,113196.0,28072398.639999483,305134.7678260813,3.831460674157303,Weekly,Bulk Buyer,Bulk/Wholesale,2025-01-13,2025-12-20,47
755,ASHFIR TRADING CC,Cape Town,59,59328.0,13149865.71,222879.07983050848,6.0344827586206895,Bi-weekly,High-Value Buyer,Medium Retailer,2025-01-06,2025-12-22,44
326,SALEH SWEETS,Cape Town,71,47515.0,8979477.01,126471.50718309858,5.151515151515151,Monthly,High-Value Buyer,Medium Retailer,2025-01-13,2025-12-19,36
624,KURA SUPER MARKET,Gauteng,168,231491.0,40046347.269999996,238371.11470238093,2.3379310344827586,Weekly,Bulk Buyer,Bulk/Wholesale,2025-01-15,2025-12-20,47
691,SERIFATU IMPORT AND EXPORT,Cape Town,66,80362.0,21342263.98,323367.63606060605,5.390625,Bi-weekly,High-Value Buyer,Medium Retailer,2025-01-07,2025-12-18,44
660,RED SEA CASH & CARRY,Cape Town,71,70101.0,15442058.379999999,217493.78,5.074626865671642,Bi-weekly,High-Value Buyer,Medium Retailer,2025-01-16,2025-12-22,41
426,MANTELA TRADING 220 CC,Cape Town,73,67093.0,17265022.68,236507.16,5.08955223880597,Bi-weekly,High-Value Buyer,Medium Retailer,2025-01-15,2025-12-22,42
847,EAST AND SOUTH CASH AND CARRY,Cape Town,63,65371.0,17453049.060139842,277032.5247641245,5.629032258064516,Bi-weekly,High-Value Buyer,Medium Retailer,2025-01-07,2025-12-22,46
390,A K SUPERMARKET,Polokwane,153,185942.0,39394844.14904885,257482.6414970513,2.6,Weekly,Bulk Buyer,Bulk/Wholesale,2025-01-15,2025-12-19,47
638,TIC & TAC SUPERMARKET,Cape Town,95,73686.0,20271134.284964878,213380.36089436713,4.069767441860465,Weekly,High-Value Buyer,Medium Retailer,2025-01-06,2025-12-22,48
547,K.G.N SUPPLIERS,Gauteng,36,18995.0,4282524.609999999,118959.01694444443,10.34375,Monthly,High-Value Buyer,Medium Retailer,2025-01-22,2025-12-19,26
520,SWEET CORNER & COSMETICS,Cape Town,121,147883.0,31413704.03,259617.38867768596,3.326923076923077,Weekly,Bulk Buyer,Bulk/Wholesale,2025-01-10,2025-12-22,48
784,RIRHANDZU DISTRIBUTORS,Cape Town,64,70849.0,14955152.388321627,233674.25606752542,5.721311475409836,Bi-weekly,High-Value Buyer,Medium Retailer,2025-01-07,2025-12-22,44
674,LUCKY NR 5 SUPERMARKET,Cape Town,35,27105.0,5891654.58,168332.988,10.029411764705882,Sporadic,High-Value Buyer,Medium Retailer,2025-01-15,2025-12-22,31
365,OCEAN CASH & CARRY,Cape Town,94,104521.0,27163199.94077471,288970.21213590115,3.8876404494382024,Weekly,Bulk Buyer,Bulk/Wholesale,2025-01-07,2025-12-19,49
686,AL SYED TRADINGS,Cape Town,75,114445.0,29432244.35,392429.92466666666,4.635135135135135,Weekly,Bulk Buyer,Bulk/Wholesale,2025-01-13,2025-12-22,48
893,SAJAL TRADERS,Cape Town,66,100882.0,22914944.5,347196.1287878788,5.476190476190476,Bi-weekly,Bulk Buyer,Bulk/Wholesale,2025-01-08,2025-12-19,45
967,CHAMPION CASH&CARRY,Cape Town,50,38391.0,9902136.926223723,198042.73852447447,7.061224489795919,Bi-weekly,High-Value Buyer,Medium Retailer,2025-01-08,2025-12-20,38
971,TRIPLE CREST TRADING,Cape Town,46,47662.0,11319368.92,246073.23739130434,6.488888888888889,Monthly,High-Value Buyer,Medium Retailer,2025-03-05,2025-12-22,35
666,EJABA FIVE STAR DISTRIBUTORS,Cape Town,61,65633.0,17106962.47,280442.00770491804,5.728813559322034,Bi-weekly,High-Value Buyer,Medium Retailer,2025-01-14,2025-12-18,41
792,S AKBAR TRADING,Cape Town,108,113881.0,28146869.06,260619.15796296296,3.3689320388349513,Weekly,Bulk Buyer,Bulk/Wholesale,2025-01-09,2025-12-22,50
970,WARRICH CASH AND CARRY,Cape Town,41,43966.0,9580835.69,233678.91926829267,7.05,Monthly,High-Value Buyer,Medium Retailer,2025-03-12,2025-12-19,33
342,NKATEKO DISTRIBUTORS,Cape Town,80,95523.0,22452220.330000002,280652.75412500004,4.626666666666667,Bi-weekly,High-Value Buyer,Medium Retailer,2025-01-09,2025-12-22,46
649,GRL WILLIAMS TRADING & PROJECT,Cape Town,66,49981.0,9780306.809999999,148186.4668181818,5.733333333333333,Bi-weekly,High-Value Buyer,Medium Retailer,2025-01-10,2025-12-20,36
645,DAYSTAR DISTROBUTION,Cape Town,107,128333.0,24750758.980000004,231315.50448598134,3.6595744680851063,Bi-weekly,Bulk Buyer,Bulk/Wholesale,2025-01-10,2025-12-20,44
846,TSHABETHE TRADING & PRJ,Cape Town,73,85696.0,23827295.19,326401.30397260276,4.777777777777778,Bi-weekly,High-Value Buyer,Medium Retailer,2025-01-09,2025-12-19,42
842,AFRICAN SAVE CASH & CARRY,Cape Town,63,78287.0,19079412.55,302847.81825396826,5.612903225806452,Bi-weekly,High-Value Buyer,Medium Retailer,2025-01-08,2025-12-22,44
553,SK WHOLESALERS,Cape Town,102,129644.0,23846443.92,233788.66588235297,3.6774193548387095,Bi-weekly,Bulk Buyer,Bulk/Wholesale,2025-01-11,2025-12-19,39
767,LYNNE VIRGIN HAIR&ACCESSORIES,Cape Town,53,46580.0,13671683.27,257956.28811320753,6.653846153846154,Bi-weekly,High-Value Buyer,Medium Retailer,2025-01-07,2025-12-19,39
902,CHEMTEK CARE,Cape Town,26,16045.0,3731252.42,143509.70846153845,11.68,Sporadic,High-Value Buyer,Medium Retailer,2025-03-01,2025-12-18,22
975,EASY SUPERMARKET & DELI,Cape Town,55,59836.0,14591505.850000001,265300.1063636364,6.425925925925926,Bi-weekly,High-Value Buyer,Medium Retailer,2025-01-06,2025-12-19,41
364,THREE BROTHERS WHOLESALERS,Cape Town,98,91442.0,24479611.270000003,249791.95173469392,4.011494252873563,Weekly,High-Value Buyer,Medium Retailer,2025-01-07,2025-12-22,48
