category,year_week,weekly_quantity,avg_unit_price,weekly_revenue,unique_skus,order_count,data_completeness
Baby and Toddler,2024-W03,18831.0,265.8383333333333,3552398.0,24,12,minimal
Baby and Toddler,2024-W04,11014.0,250.46969696969697,2012134.0,19,7,minimal
Baby and Toddler,2024-W05,1471.0,422.3888888888889,514240.0,13,4,minimal
Baby and Toddler,2025-W01,58682.0,247.06900584795324,10825367.0,27,34,minimal
Baby and Toddler,2025-W02,196288.0,244.63976377952756,37857170.0,34,99,complete
Baby and Toddler,2025-W03,270879.0,259.3503059273422,52349257.06,31,148,complete
Baby and Toddler,2025-W04,276592.0,245.562890625,51005956.8,34,163,complete
Baby and Toddler,2025-W05,185823.0,238.12803512623492,34505734.44,34,158,complete
Baby and Toddler,2025-W06,44294.0,331.53478260869565,12879919.75,28,59,partial
Baby and Toddler,2025-W07,39645.0,177.043991416309,6767853.75,30,66,partial
Baby and Toddler,2025-W08,52992.0,232.26277955271564,12986605.5,30,79,partial
Baby and Toddler,2025-W09,28166.0,266.1725663716814,6231542.5,24,30,minimal
Baby and Toddler,2025-W10,66354.0,202.7688679245283,11904973.5,28,103,partial
Baby and Toddler,2025-W11,69095.0,239.00569620253165,13785323.25,29,93,partial
Baby and Toddler,2025-W12,46910.0,225.39193396226415,8130029.8,33,101,partial
Baby and Toddler,2025-W13,73049.0,206.30313199105146,12653020.0,32,105,partial
Baby and Toddler,2025-W14,168404.0,219.20691415313223,27727304.67,30,196,partial
Baby and Toddler,2025-W15,138828.0,186.44141531322506,22809955.75,30,209,partial
Baby and Toddler,2025-W16,93681.0,220.81514639639641,16151187.9,29,191,partial
Baby and Toddler,2025-W17,122310.0,212.91910229645094,19970955.0,29,207,partial
Baby and Toddler,2025-W18,136496.0,215.71204,23678264.08,32,215,partial
Baby and Toddler,2025-W19,128376.0,214.89187214611871,23839674.96,32,176,partial
Baby and Toddler,2025-W20,143239.0,212.05791465378422,25054717.5,34,250,complete
Baby and Toddler,2025-W21,117952.0,213.16561538461536,20451337.91,33,249,complete
Baby and Toddler,2025-W22,112621.0,210.0986633663366,20689357.68,33,202,partial
Baby and Toddler,2025-W23,89484.0,233.51699367088605,16063817.92,30,102,partial
Baby and Toddler,2025-W24,151067.0,189.63014112903227,24479546.04,31,218,complete
Baby and Toddler,2025-W25,113865.0,210.12489177489178,18116389.94,31,197,complete
Baby and Toddler,2025-W26,180199.0,180.1564406779661,27587448.52,29,313,complete
Baby and Toddler,2025-W27,100802.0,189.57273607748184,16145696.68,30,163,complete
Baby and Toddler,2025-W28,69661.0,242.8063054187192,14561209.13,29,133,complete
Baby and Toddler,2025-W29,50649.0,224.37047781569967,9595084.01,28,90,complete
