sku,description,category,date,quantity,revenue,num_orders,num_customers
10001,TEST PAGE,Unknown,2025-09-08,307,36732.55,4,4
10001,TEST PAGE,Unknown,2025-09-15,235,83754.0,4,4
10001,TEST PAGE,Unknown,2025-09-29,1228,254779.2,2,2
10001,TEST PAGE,Unknown,2025-10-06,1304,257243.6,2,2
10001,TEST PAGE,Unknown,2025-10-13,105,23677.5,4,4
10001,TEST PAGE,Unknown,2025-10-20,175,39462.5,3,3
10001,TEST PAGE,Unknown,2025-10-27,401,90425.5,9,9
10001,TEST PAGE,Unknown,2025-11-03,80,18040.0,1,1
10001,TEST PAGE,Unknown,2025-12-08,215,54323.3,5,5
10001,TEST PAGE,Unknown,2025-12-15,2875,664255.5,11,11
10001,TEST PAGE,Unknown,2025-12-22,3020,709022.0,15,15
10002,CABLE FTE 1.5mm X 2 CORE WHITE 100M COIL,Hardware,2025-02-03,100,125000.0,1,1
10002,CABLE FTE 1.5mm X 2 CORE WHITE 100M COIL,Hardware,2025-02-10,2025,2521250.0,29,16
10002,CABLE FTE 1.5mm X 2 CORE WHITE 100M COIL,Hardware,2025-02-17,2690,3357500.0,39,23
10002,CABLE FTE 1.5mm X 2 CORE WHITE 100M COIL,Hardware,2025-02-24,1600,2000000.0,25,17
10002,CABLE FTE 1.5mm X 2 CORE WHITE 100M COIL,Hardware,2025-03-03,1635,2043750.0,25,14
10002,CABLE FTE 1.5mm X 2 CORE WHITE 100M COIL,Hardware,2025-06-09,1770,2212500.0,21,17
10002,CABLE FTE 1.5mm X 2 CORE WHITE 100M COIL,Hardware,2025-06-16,1605,2006250.0,25,16
10002,CABLE FTE 1.5mm X 2 CORE WHITE 100M COIL,Hardware,2025-06-23,2440,3050000.0,40,16
10002,CABLE FTE 1.5mm X 2 CORE WHITE 100M COIL,Hardware,2025-06-30,1605,2031250.0,42,23
10002,CABLE FTE 1.5mm X 2 CORE WHITE 100M COIL,Hardware,2025-07-07,1672,2090000.0,23,18
10002,CABLE FTE 1.5mm X 2 CORE WHITE 100M COIL,Hardware,2025-07-14,1450,1812500.0,23,16
10002,CABLE FTE 1.5mm X 2 CORE WHITE 100M COIL,Hardware,2025-07-21,1705,2106250.0,21,12
10002,CABLE FTE 1.5mm X 2 CORE WHITE 100M COIL,Hardware,2025-07-28,1425,1781250.0,24,14
10002,CABLE FTE 1.5mm X 2 CORE WHITE 100M COIL,Hardware,2025-08-04,2490,3107500.0,45,19
10002,CABLE FTE 1.5mm X 2 CORE WHITE 100M COIL,Hardware,2025-08-11,1405,1756250.0,34,21
10002,CABLE FTE 1.5mm X 2 CORE WHITE 100M COIL,Hardware,2025-08-18,1772,2241580.2,40,22
