category,year_week,weekly_quantity
Baby and Toddler,2024-W03,18831.0
Baby and Toddler,2024-W04,11014.0
Baby and Toddler,2024-W05,1471.0
Baby and Toddler,2025-W01,58682.0
Baby and Toddler,2025-W02,196288.0
Baby and Toddler,2025-W03,270879.0
Baby and Toddler,2025-W04,276592.0
Baby and Toddler,2025-W05,185823.0
Baby and Toddler,2025-W06,44294.0
Baby and Toddler,2025-W07,39645.0
Baby and Toddler,2025-W08,52992.0
Baby and Toddler,2025-W09,28166.0
Baby and Toddler,2025-W10,66354.0
Baby and Toddler,2025-W11,69095.0
Baby and Toddler,2025-W12,46910.0
Baby and Toddler,2025-W13,73049.0
Baby and Toddler,2025-W14,168404.0
Baby and Toddler,2025-W15,138828.0
Baby and Toddler,2025-W16,93681.0
Baby and Toddler,2025-W17,122310.0
Baby and Toddler,2025-W18,136496.0
Baby and Toddler,2025-W19,128376.0
Baby and Toddler,2025-W20,143239.0
Baby and Toddler,2025-W21,117952.0
Baby and Toddler,2025-W22,112621.0
Baby and Toddler,2025-W23,89484.0
Baby and Toddler,2025-W24,151067.0
Baby and Toddler,2025-W25,113865.0
Baby and Toddler,2025-W26,180199.0
Beverages,2025-W03,14.0
Beverages,2025-W04,2136.0
Beverages,2025-W05,2.0
Beverages,2025-W06,7175.0
Beverages,2025-W07,9107.0
Beverages,2025-W08,8487.0
Beverages,2025-W09,1561.0
Beverages,2025-W10,938.0
Beverages,2025-W11,259.0
Beverages,2025-W12,598.0
Beverages,2025-W13,1581.0
Beverages,2025-W14,20158.0
Beverages,2025-W15,3819.0
Beverages,2025-W16,1306.0
Beverages,2025-W17,3442.0
Beverages,2025-W18,11482.0
Beverages,2025-W19,5782.0
Beverages,2025-W20,14988.0
Beverages,2025-W21,5300.0
Beverages,2025-W22,8736.0
Beverages,2025-W24,1704.0
Beverages,2025-W25,5064.0
Beverages,2025-W26,10080.0
Brand Manufacturers,2025-W03,14.0
Brand Manufacturers,2025-W05,18.0
Brand Manufacturers,2025-W06,433.0
Brand Manufacturers,2025-W07,399.0
Brand Manufacturers,2025-W08,252.0
Brand Manufacturers,2025-W09,72.0
Brand Manufacturers,2025-W11,59.0
Brand Manufacturers,2025-W12,279.0
Brand Manufacturers,2025-W14,14.0
Brand Manufacturers,2025-W15,138.0
Brand Manufacturers,2025-W16,2008.0
Brand Manufacturers,2025-W17,54.0
