master_customer_id,customer_name,original_ids,num_ids,total_volume
1,KWAMBA INVESTMENTS,592,1,1352515.0
2,AMBICOR 121,573,1,956606.0
3,"SUPERMERCADO TODO DIA, LDA",626,1,954192.0
4,SEGWAGWA CC,529,1,907763.0
5,CRESCENT INTERNATIONAL PTY LTD,203,1,898109.0
6,"S.H PINTOS , EI",799,1,896377.0
7,COALITION TRADING 1316CC T/A,11,1,889697.0
8,DELPH LIKE TRADING TA RITE PRICE WHOLESALERS,568,1,822809.0
9,WHIPPS CROSS TRADING,443,1,778337.0
10,METCASH TRADING AFRICA (PTY) LTD T/A CHAMPION CNC,47,1,763329.0
11,USIMAKADE (PTY)LTD,591,1,689672.0
12,MJ GROUP OF COMPANIES,202,1,687471.0
13,ARGUS DISTRIBUTION CENTRE,377,1,676900.0
14,WOKOCHO GENERAL TRADING T/A SAVE MORE CASH N CARRY,58,1,640779.0
15,ODM INVEST (PTY) LTD T/A SALVAGE MART,642,1,638785.0
16,AFRICAN SUPERMARKET (SAM),199,1,626858.0
17,PLATINUM PANTHER TRADE (PTY) LTD T/A DAKOTA C&C,434,1,608339.0
18,MIQRA TRADING CC,439,1,586468.0
19,JEEBHAI COSMETICS,105,1,583732.0
20,NEW KALKAAL,22,1,538477.0
21,PLEIN STREET DISTRIBUTION,583,1,537805.0
22,KINGDOM DISTRIBUTOIN NETWORK,162,1,531494.0
23,GELLI DISTRIBUTORS (PTY) LTD,640,1,518118.0
24,CLEAN STREET TRADING AND DISTRIBUTION CC,588,1,495338.0
25,LENASIA QUICK BUILD,46,1,473837.0
26,ARAIA INVESTMENTS,517,1,470165.0
27,SOUTHERN AMBITION,505,1,468463.0
28,QUSWAH TRADING (LENS),209,1,446914.0
29,WOLMU TRADING (PTY) LTD,543,1,434246.0
30,POCHA & SONS WHOLESALERS - KISMAT CASH N CARRY,519,1,400977.0
31,SAFARI DISTRIBUTORS PTY (LTD),182,1,347636.0
32,ZA BUILDERS & STEEL,96,1,346279.0
33,BEST SELLER TRADING PTY LTD TA DAHIRKEY,579,1,330456.0
34,Main Line Import & Export  (Pty) Ltd,537,1,327779.0
35,CONCORDANT HOLDINGS (PTY) LTD,604,1,321163.0
36,VABRO DISTRIBUTORS,589,1,317978.0
37,MPHO DISTRIBUTORS,476,1,312269.0
