MAE,RMSE,MAPE,count,entities,model,level
1853.2509111193751,6687.49717291298,72.72727272727273,16134,952,Naive_Last,SKU
1628.4444700614808,6714.7937547237825,58.333333333333336,14964,782,MA_4Week,SKU
1656.093140370791,6881.3183039527585,54.927520553872775,13215,613,MA_8Week,SKU
1868.3155226935407,8094.932211894924,71.79549505752715,16134,952,Seasonal_Naive,SKU
2312.58254939017,9914.199966045595,86.92365832700291,14964,782,Linear_Trend,SKU
1571.186310392643,6476.872478031907,57.745743091121916,15725,876,ExpSmooth_03,SKU
1667.8141177153325,6597.376941653754,62.37313145403065,15725,876,ExpSmooth_05,SKU
1278.4809591942883,7034.76445976299,50.8483533478961,18895,1366,XGBoost,SKU
101949.60603448277,313901.55404301384,44.42988305494099,232,9,Naive_Last,Category
89749.98922413793,317907.87582383485,37.132066766139616,232,9,MA_4Week,Category
96816.01362462033,325936.00503001927,44.529743639601634,232,9,Linear_Trend,Category
88965.06855757869,316102.64025529986,35.89130728744851,232,9,ExpSmooth_03,Category
