sku,year_week,weekly_quantity,category,description
10002,2025-W05,100.0,Hardware,CABLE FTE 1.5mm X 2 CORE WHITE 100M COIL
10002,2025-W06,2025.0,Hardware,CABLE FTE 1.5mm X 2 CORE WHITE 100M COIL
10002,2025-W07,2690.0,Hardware,CABLE FTE 1.5mm X 2 CORE WHITE 100M COIL
10002,2025-W08,1600.0,Hardware,CABLE FTE 1.5mm X 2 CORE WHITE 100M COIL
10002,2025-W09,1675.0,Hardware,CABLE FTE 1.5mm X 2 CORE WHITE 100M COIL
10002,2025-W23,1770.0,Hardware,CABLE FTE 1.5mm X 2 CORE WHITE 100M COIL
10002,2025-W24,1605.0,Hardware,CABLE FTE 1.5mm X 2 CORE WHITE 100M COIL
10002,2025-W25,2480.0,Hardware,CABLE FTE 1.5mm X 2 CORE WHITE 100M COIL
10002,2025-W26,1605.0,Hardware,CABLE FTE 1.5mm X 2 CORE WHITE 100M COIL
10003,2025-W05,50.0,Hardware,CABLE GPW 2.5mm RED 100M COIL
10003,2025-W06,140.0,Hardware,CABLE GPW 2.5mm RED 100M COIL
10003,2025-W07,150.0,Hardware,CABLE GPW 2.5mm RED 100M COIL
10003,2025-W08,90.0,Hardware,CABLE GPW 2.5mm RED 100M COIL
10003,2025-W09,100.0,Hardware,CABLE GPW 2.5mm RED 100M COIL
10003,2025-W23,90.0,Hardware,CABLE GPW 2.5mm RED 100M COIL
10003,2025-W24,60.0,Hardware,CABLE GPW 2.5mm RED 100M COIL
10003,2025-W25,250.0,Hardware,CABLE GPW 2.5mm RED 100M COIL
10003,2025-W26,90.0,Hardware,CABLE GPW 2.5mm RED 100M COIL
10004,2025-W05,50.0,Hardware,CABLE GPW 1.5mm RED 100M COIL
10004,2025-W06,160.0,Hardware,CABLE GPW 1.5mm RED 100M COIL
10004,2025-W07,170.0,Hardware,CABLE GPW 1.5mm RED 100M COIL
10004,2025-W08,180.0,Hardware,CABLE GPW 1.5mm RED 100M COIL
10004,2025-W09,90.0,Hardware,CABLE GPW 1.5mm RED 100M COIL
10004,2025-W23,140.0,Hardware,CABLE GPW 1.5mm RED 100M COIL
10004,2025-W24,220.0,Hardware,CABLE GPW 1.5mm RED 100M COIL
10004,2025-W25,221.0,Hardware,CABLE GPW 1.5mm RED 100M COIL
10004,2025-W26,180.0,Hardware,CABLE GPW 1.5mm RED 100M COIL
10005,2025-W05,55.0,Hardware,CABLE GPW 2.5mm BLACK 100M COIL
10005,2025-W06,171.0,Hardware,CABLE GPW 2.5mm BLACK 100M COIL
